hour,B(t)
0,10.527466191928571
1,10.55258237662857
2,10.535835462342858
3,10.506528362342857
4,10.510715090914285
5,10.50652836234286
6,10.477217075614286
7,9.325644821857143
8,5.766243099385714
9,4.72353834867143
10,4.652351402771429
11,4.694227061942857
12,4.694231248671429
13,4.6774801476571435
14,4.6523555895
15,4.669106690514286
16,4.710982349685715
17,6.997375756185714
18,10.5651509358
19,10.527466191928571
20,10.498150718471427
21,10.468839431742856
22,10.4562750593
23,10.464648516442855
