hour,B(t)
0,10.485590532757143
1,10.464648516442859
2,10.464652703171428
3,10.443714873585716
4,10.426967959299999
5,10.397648299114286
6,10.359963555242857
7,8.936207890328573
8,4.715164891528572
9,4.564413355857143
10,4.610479930328572
11,4.610479930328572
12,4.589542100742858
13,4.6104757436
14,4.623040116042858
15,4.6272268446142855
16,4.631417759914286
17,6.942935724571429
18,10.531657107228572
19,10.556781665385714
20,10.581906223542857
21,10.577715308242858
22,10.54003056437143
23,10.519092734785715
