hour,B(t)
0,10.598653137828572
1,10.540034751099999
2,10.5316529205
3,10.510715090914287
4,10.481399617457145
5,10.485586346028573
6,10.4939639899
7,8.731016323042857
8,4.744484551714286
9,4.719355806828571
10,4.761227279271429
11,4.773787464985715
12,4.790538566
13,4.815663124157143
14,4.8742940710714295
15,4.886858443514286
16,4.882671714942857
17,7.424501618314285
18,10.707529014328571
19,10.686591184742856
20,10.648898067414283
21,10.665657541885713
22,10.615404238842858
23,10.619590967414286
