hour,B(t)
0,9.533257142857142
1,9.421814285714287
2,9.284657142857142
3,9.233214285714284
4,9.301785714285716
5,9.284642857142856
6,9.396100000000002
7,7.9643999999999995
8,6.489814285714284
9,6.832771428571427
10,7.192828571428571
11,7.235685714285714
12,7.467157142857142
13,7.450000000000001
14,7.355714285714285
15,7.544314285714285
16,7.098514285714286
17,10.184814285714284
18,10.030514285714284
19,10.313414285714286
20,10.141942857142856
21,9.927642857142857
22,9.730457142857144
23,9.653300000000002
