hour,B(t)
0,2.7813568316714288
1,2.7034753067857147
2,2.718551716371429
3,2.6984512325000005
4,2.7135234553571435
5,2.6959391953571434
6,2.7160354925000005
7,2.2688091465
8,1.8014781298999998
9,1.8215786137714287
10,1.8090184280571429
11,1.9472139647428572
12,1.9446935541428574
13,1.8517230594857146
14,1.9044883996714288
15,1.8969481015142857
16,1.9723217759857146
17,2.7085077545285716
18,2.7939253908428574
19,2.8064855765571437
20,2.803969352685715
21,2.8014656890000005
22,2.8140258747142863
23,2.8140258747142863
