hour,B(t)
0,2.7436720878000007
1,2.7361317896428576
2,2.736135976371429
3,2.726079454342858
4,2.7059915306571436
5,2.703479493514286
6,2.741160050657143
7,2.2838855560857145
8,1.9647940380142859
9,2.047708010642858
10,2.188403024285715
11,2.1507224671428573
12,2.301474002814286
13,2.4170444583000004
14,2.271321183642857
15,2.3542309695428574
16,2.2260961416142857
17,3.1255729079
18,3.183370695828572
19,2.992409818957143
20,3.002466340985715
21,2.9597533361000004
22,2.801461502271429
23,2.8165337251285716
