hour,B(t)
0,2.776341130842858
1,2.748691975357143
2,2.700963269642858
3,2.7185475296428576
4,2.721059566785715
5,2.723567417200001
6,2.7386480135142857
7,2.2964415550714286
8,1.9396736665857144
9,2.1959475091714284
10,2.2411683644714286
11,2.175842838571428
12,2.2863975932285716
13,2.3341346724000003
14,2.3466906713857147
15,2.3115221513857143
16,2.3215702999571435
17,3.1507016527857146
18,3.3140217476285723
19,3.208491067257143
20,3.148189615642857
21,3.437132501271429
22,3.082864089742858
23,2.8466865443
