hour,B(t)
0,18.673780749600002
1,16.897297389271426
2,15.743631771228573
3,14.673922621228574
4,13.81820135524286
5,13.0876423399
6,14.314546400842858
7,16.0744461293
8,19.67853699254286
9,25.25649872134286
10,29.562251799328575
11,33.344848021942866
12,34.11338066542857
13,33.689064098171436
14,34.44089588138572
15,34.692735978414284
16,34.10778300932857
17,31.84488133684286
18,29.676570422971427
19,29.81911178391429
20,29.08373803071429
21,25.828263495428576
22,22.971491122
23,21.956129895585715
