hour,B(t)
0,69.37308571428571
1,62.28715714285714
2,58.9468142857143
3,55.43628571428572
4,50.19398571428571
5,46.288085714285714
6,47.373157142857146
7,55.47827142857143
8,63.31278571428571
9,72.95935714285714
10,84.7169142857143
11,99.0529857142857
12,99.53307142857143
13,96.32658571428571
14,95.75575714285715
15,96.49461428571428
16,94.31047142857143
17,92.62001428571428
18,89.31308571428573
19,87.79035714285715
20,84.3654142857143
21,77.97505714285715
22,73.81052857142858
23,68.96815714285715
