hour,B(t)
0,18.578042827357145
1,16.598097018642857
2,15.8714358476
3,14.828479893171432
4,13.605055003671428
5,12.734387116685713
6,12.682710325928573
7,15.031331079185717
8,17.332591558842857
9,19.196213300928573
10,23.794216780114287
11,27.914116790085718
12,28.806819429542855
13,28.199827521257145
14,28.30732596405715
15,28.325538233342858
16,27.975046250985713
17,27.625090169885716
18,26.533446748899998
19,24.92467536168571
20,23.523440109757143
21,20.53969681894286
22,18.872641983285718
23,17.752846999385717
