hour,B(t)
0,19.260910817542857
1,17.052143545485713
2,16.086164782571426
3,15.315877899814286
4,14.824134068914287
5,14.676518392942857
6,15.63906403842857
7,17.91407372994286
8,21.935907996585716
9,28.319006936771434
10,34.25484603712858
11,36.862926733414284
12,37.020381221528574
13,36.000083842128575
14,36.35297063322857
15,36.52054863102857
16,35.58200550044286
17,34.94751097217143
18,32.584228295457144
19,31.281942186585717
20,29.793861623900003
21,28.068891771914284
22,26.05640670874286
23,24.670658165800003
