hour,B(t)
0,0.2282185744285714
1,0.2290559201428571
2,0.2282185744285714
3,0.2273812287142857
4,0.22654388299999997
5,0.2261252101428571
6,0.2252878644285714
7,0.1947163724
8,0.1369353313857143
9,0.13735400424285713
10,0.13819134995714286
11,0.1377726771
12,0.14237807852857143
13,0.14195940567142856
14,0.14154073281428572
15,0.14321542424285716
16,0.14237807852857143
17,0.15661295567142858
18,0.22738960217142853
19,0.22781246175714287
20,0.22822276115714285
21,0.22864143401428572
22,0.2282185744285714
23,0.22529205115714282
