hour,B(t)
0,0.7858571428571428
1,0.7872857142857141
2,0.783
3,0.7787142857142856
4,0.7801428571428569
5,0.780142857142857
6,0.7715714285714286
7,0.6143857142857143
8,0.4958142857142857
9,0.5029571428571428
10,0.5186714285714286
11,0.5243857142857143
12,0.5343857142857144
13,0.5443857142857143
14,0.5443857142857143
15,0.5443857142857144
16,0.5486714285714286
17,0.5743857142857143
18,0.8116000000000001
19,0.8087285714285714
20,0.8072857142857143
21,0.8058857142857142
22,0.7915714285714286
23,0.7887285714285712
