hour,B(t)
0,0.7801571428571429
1,0.7744285714285714
2,0.7715714285714286
3,0.7687142857142856
4,0.770142857142857
5,0.7758714285714284
6,0.7658571428571427
7,0.6158142857142856
8,0.4815285714285715
9,0.4986714285714285
10,0.5143857142857143
11,0.5186714285714287
12,0.5329571428571428
13,0.5429571428571429
14,0.5458142857142858
15,0.5472428571428571
16,0.5486714285714286
17,0.5758142857142857
18,0.7973142857142858
19,0.7773142857142857
20,0.7858714285714286
21,0.7772714285714287
22,0.765842857142857
23,0.7644142857142856
