hour,B(t)
0,119.59939881747142
1,120.09465531364286
2,119.47519951439999
3,119.4261561759143
4,119.75416961257143
5,120.19030112785715
6,123.22383718157144
7,127.17172126145717
8,129.24107884554286
9,137.1620511113143
10,139.6442536263714
11,137.28102119040003
12,134.37395364664286
13,135.8962355950286
14,133.76537078150002
15,132.24416482235713
16,127.3624602417143
17,123.62667583125715
18,125.77601667797146
19,122.33561015495714
20,120.1730015654
21,120.73153627720002
22,118.95799200032857
23,118.48031976415714
