hour,B(t)
0,404.38859999999994
1,406.6540571428572
2,403.6919142857143
3,404.7411142857142
4,408.8094714285715
5,410.1682857142857
6,415.7296428571429
7,408.70714285714286
8,402.55512857142855
9,415.96741428571426
10,421.88325714285713
11,416.8468571428571
12,410.1670142857143
13,406.26767142857153
14,400.8347714285714
15,400.17978571428574
16,398.1328285714286
17,398.4416
18,413.4402142857143
19,411.4386857142858
20,409.8518142857143
21,412.12752857142857
22,412.01095714285714
23,411.7356142857143
