hour,B(t)
0,120.2361583659
1,120.21107148829999
2,119.26925433597145
3,120.28371960247144
4,119.02675064365715
5,119.37770735288572
6,122.82489218945716
7,125.32341875921429
8,126.95271767661428
9,134.72192940512858
10,135.57170551654286
11,136.94463848332856
12,136.2889088677429
13,138.44431628415717
14,136.82373413564287
15,133.05839142147144
16,130.79117741855717
17,127.88326834235714
18,130.67824041534286
19,129.35828631190003
20,126.1317797516
21,123.50037479044286
22,121.60929229565714
23,120.62839621884287
