hour,B(t)
0,133.25427142857143
1,131.4825142857143
2,130.10367142857143
3,131.61111428571428
4,132.13977142857144
5,133.13284285714286
6,135.9405
7,136.4549142857143
8,131.28247142857143
9,126.84591428571427
10,126.35295714285715
11,121.90209999999999
12,122.7451142857143
13,125.05267142857143
14,122.18072857142856
15,120.08032857142858
16,118.70147142857142
17,122.09498571428571
18,127.25314285714285
19,127.73892857142857
20,130.71807142857142
21,132.53987142857142
22,131.96832857142857
23,129.43122499999998
